NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
05286344,12,2023,980000,2,,4,4378.3333
05286344,12,2023,980000,2,,5,4378.3333
05286344,12,2023,980071,2,,1,5006.3333333
05286344,12,2023,980071,2,,2,5006.3333333
05286344,12,2023,980071,2,,3,5006.3333333
05286344,12,2023,980071,2,,4,5006.3333333
05286344,12,2023,980071,2,,5,5006.3333333
05286374,10,2023,800940,2,,1,395.25
05286374,10,2023,800940,2,,2,395.25
05286374,10,2023,800940,2,,3,395.25
05286374,10,2023,800940,2,,4,395.25
05286374,10,2023,800940,2,,5,395.25
05286374,10,2023,900000,2,,1,5166.6667
05286374,10,2023,900000,2,,2,5166.6667
05286374,10,2023,900000,2,,3,5166.6667
05286374,10,2023,900000,2,,4,5166.6667
05286374,10,2023,900000,2,,5,5166.6667
05286374,10,2023,900030,2,,1,975.6667
05286374,10,2023,900030,2,,2,1184.6667
05286374,10,2023,900030,2,,3,1850.6667
05286374,10,2023,900030,2,,4,881.6667
05286374,10,2023,900030,2,,5,1660.6667
05286374,10,2023,900170,2,,1,833.3333
05286374,10,2023,900170,2,,2,833.3333
05286374,10,2023,900170,2,,3,833.3333
05286374,10,2023,900170,2,,4,833.3333
05286374,10,2023,900170,2,,5,833.3333
05286374,10,2023,980000,2,,1,6975.6667
05286374,10,2023,980000,2,,2,7184.6667
05286374,10,2023,980000,2,,3,7850.6667
05286374,10,2023,980000,2,,4,6881.6667
05286374,10,2023,980000,2,,5,7660.6667
05286374,10,2023,980071,2,,1,6209.8333333
05286374,10,2023,980071,2,,2,6418.8333333
05286374,10,2023,980071,2,,3,7084.8333333
05286374,10,2023,980071,2,,4,6115.8333333
05286374,10,2023,980071,2,,5,6894.8333333
05286374,11,2023,800940,2,,1,395.25
05286374,11,2023,800940,2,,2,395.25
05286374,11,2023,800940,2,,3,395.25
05286374,11,2023,800940,2,,4,395.25
05286374,11,2023,800940,2,,5,395.25
05286374,11,2023,900000,2,,1,5166.6667
05286374,11,2023,900000,2,,2,5166.6667
05286374,11,2023,900000,2,,3,5166.6667
05286374,11,2023,900000,2,,4,5166.6667
05286374,11,2023,900000,2,,5,5166.6667
05286374,11,2023,900030,2,,1,975.6667
05286374,11,2023,900030,2,,2,1184.6667
05286374,11,2023,900030,2,,3,1850.6667
05286374,11,2023,900030,2,,4,881.6667
05286374,11,2023,900030,2,,5,1660.6667
05286374,11,2023,900170,2,,1,833.3333
05286374,11,2023,900170,2,,2,833.3333
05286374,11,2023,900170,2,,3,833.3333
05286374,11,2023,900170,2,,4,833.3333
05286374,11,2023,900170,2,,5,833.3333
05286374,11,2023,980000,2,,1,6975.6667
05286374,11,2023,980000,2,,2,7184.6667
05286374,11,2023,980000,2,,3,7850.6667
05286374,11,2023,980000,2,,4,6881.6667
05286374,11,2023,980000,2,,5,7660.6667
05286374,11,2023,980071,2,,1,6209.8333333
05286374,11,2023,980071,2,,2,6418.8333333
05286374,11,2023,980071,2,,3,7084.8333333
05286374,11,2023,980071,2,,4,6115.8333333
05286374,11,2023,980071,2,,5,6894.8333333
05286374,12,2023,800940,2,,1,395.25
05286374,12,2023,800940,2,,2,395.25
05286374,12,2023,800940,2,,3,395.25
05286374,12,2023,800940,2,,4,395.25
05286374,12,2023,800940,2,,5,395.25
05286374,12,2023,900000,2,,1,5166.6667
05286374,12,2023,900000,2,,2,5166.6667
05286374,12,2023,900000,2,,3,5166.6667
05286374,12,2023,900000,2,,4,5166.6667
05286374,12,2023,900000,2,,5,5166.6667
05286374,12,2023,900030,2,,1,975.6667
05286374,12,2023,900030,2,,2,1184.6667
05286374,12,2023,900030,2,,3,1850.6667
05286374,12,2023,900030,2,,4,881.6667
05286374,12,2023,900030,2,,5,1660.6667
05286374,12,2023,900170,2,,1,833.3333
05286374,12,2023,900170,2,,2,833.3333
05286374,12,2023,900170,2,,3,833.3333
05286374,12,2023,900170,2,,4,833.3333
05286374,12,2023,900170,2,,5,833.3333
05286374,12,2023,980000,2,,1,6975.6667
05286374,12,2023,980000,2,,2,7184.6667
05286374,12,2023,980000,2,,3,7850.6667
05286374,12,2023,980000,2,,4,6881.6667
05286374,12,2023,980000,2,,5,7660.6667
05286374,12,2023,980071,2,,1,6209.8333333
05286374,12,2023,980071,2,,2,6418.8333333
05286374,12,2023,980071,2,,3,7084.8333333
05286374,12,2023,980071,2,,4,6115.8333333
05286374,12,2023,980071,2,,5,6894.8333333
05286424,10,2023,900030,2,,1,3751.3333
05286424,10,2023,900030,2,,2,3751.3333
05286424,10,2023,900030,2,,3,3751.3333
05286424,10,2023,900030,2,,4,3751.3333
05286424,10,2023,900030,2,,5,3751.3333
05286424,10,2023,900170,2,,1,4531
05286424,10,2023,900170,2,,2,4531
05286424,10,2023,900170,2,,3,4531
05286424,10,2023,900170,2,,4,4531
05286424,10,2023,900170,2,,5,4531
05286424,10,2023,900180,2,,1,8
05286424,10,2023,900180,2,,2,1.5833
05286424,10,2023,900180,2,,3,8
05286424,10,2023,900180,2,,4,8.3333
05286424,10,2023,900180,2,,5,11.25
05286424,10,2023,980000,2,,1,8290.3333
05286424,10,2023,980000,2,,2,8283.9167
05286424,10,2023,980000,2,,3,8290.3333
05286424,10,2023,980000,2,,4,8290.6667
05286424,10,2023,980000,2,,5,8293.5833
05286424,10,2023,980071,2,,1,7568.1666667
05286424,10,2023,980071,2,,2,7561.75
05286424,10,2023,980071,2,,3,7568.1666667
05286424,10,2023,980071,2,,4,7568.5
05286424,10,2023,980071,2,,5,7571.4166667
05286424,11,2023,900030,2,,1,3751.3333
05286424,11,2023,900030,2,,2,3751.3333
05286424,11,2023,900030,2,,3,3751.3333
05286424,11,2023,900030,2,,4,3751.3333
05286424,11,2023,900030,2,,5,3751.3333
05286424,11,2023,900170,2,,1,4531
05286424,11,2023,900170,2,,2,4531
05286424,11,2023,900170,2,,3,4531
05286424,11,2023,900170,2,,4,4531
05286424,11,2023,900170,2,,5,4531
05286424,11,2023,900180,2,,1,8
05286424,11,2023,900180,2,,2,1.5833
