NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05286344,10,2023,980285,2,8.3333,
05286344,10,2023,980290,2,8.3333,
05286344,10,2023,980330,2,8.3333,
05286344,10,2023,980340,2,8.3333,
05286344,10,2023,980350,2,8.3333,
05286344,10,2023,980360,2,0.0833,
05286344,11,2023,005200,2,333.3333,
05286344,11,2023,005210,2,333.3333,
05286344,11,2023,800940,2,234.0000,
05286344,11,2023,900000,2,3058.3333,
05286344,11,2023,900090,2,820.0000,
05286344,11,2023,900150,2,500.0000,
05286344,11,2023,950004,2,-644.6667,
05286344,11,2023,980000,2,4378.3333,
05286344,11,2023,980010,2,0.5000,
05286344,11,2023,980020,2,3.3333,
05286344,11,2023,980030,2,0.0833,
05286344,11,2023,980040,2,0.1667,
05286344,11,2023,980050,2,0.2500,
05286344,11,2023,980071,2,5006.3333,
05286344,11,2023,980210,2,8.3333,
05286344,11,2023,980260,2,8.3333,
05286344,11,2023,980281,2,8.3333,
05286344,11,2023,980285,2,8.3333,
05286344,11,2023,980290,2,8.3333,
05286344,11,2023,980330,2,8.3333,
05286344,11,2023,980340,2,8.3333,
05286344,11,2023,980350,2,8.3333,
05286344,11,2023,980360,2,0.0833,
05286344,12,2023,005200,2,333.3333,
05286344,12,2023,005210,2,333.3333,
05286344,12,2023,800940,2,234.0000,
05286344,12,2023,900000,2,3058.3333,
05286344,12,2023,900090,2,820.0000,
05286344,12,2023,900150,2,500.0000,
05286344,12,2023,950004,2,-644.6667,
05286344,12,2023,980000,2,4378.3333,
05286344,12,2023,980010,2,0.5000,
05286344,12,2023,980020,2,3.3333,
05286344,12,2023,980030,2,0.0833,
05286344,12,2023,980040,2,0.1667,
05286344,12,2023,980050,2,0.2500,
05286344,12,2023,980071,2,5006.3333,
05286344,12,2023,980210,2,8.3333,
05286344,12,2023,980260,2,8.3333,
05286344,12,2023,980281,2,8.3333,
05286344,12,2023,980285,2,8.3333,
05286344,12,2023,980290,2,8.3333,
05286344,12,2023,980330,2,8.3333,
05286344,12,2023,980340,2,8.3333,
05286344,12,2023,980350,2,8.3333,
05286344,12,2023,980360,2,0.0833,
05286374,10,2023,800940,2,395.2500,
05286374,10,2023,900000,2,5166.6667,
05286374,10,2023,900030,2,1310.6667,
05286374,10,2023,900170,2,833.3333,
05286374,10,2023,950004,2,532.4167,
05286374,10,2023,950014,2,233.4167,
05286374,10,2023,980000,2,7310.6667,
05286374,10,2023,980010,2,0.1667,
05286374,10,2023,980020,2,5.5000,
05286374,10,2023,980030,2,0.0833,
05286374,10,2023,980040,2,0.0833,
05286374,10,2023,980060,2,0.1667,
