NEWID,SEQNO,ALCNO,HSVCODE,HSVCODE_,HSVCD1,HSVCD1_,HSVCD2,HSVCD2_,HSVCD3,HSVCD3_,HSVCD4,HSVCD4_,HSVCD5,HSVCD5_,HSVCD6,HSVCD6_,HSVCD7,HSVCD7_,HSVCD8,HSVCD8_,HSVCD9,HSVCD9_,HSVMO,HSVMO_,HSVGFTC,HSVGFTC_,HSVEXPX,HSVEXPX_,QYEAR
05841752,11,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,184,D,20251
05841772,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,86,D,20251
05841772,12,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20251
05841772,13,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,85,D,20251
05841932,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,35,D,20251
05841932,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,125,D,20251
05841982,25,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,248,F,20251
05841982,26,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,175,D,20251
05841982,27,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,300,D,20251
05842032,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,75,D,20251
05842032,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,80,D,20251
05842062,33,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,F,84,D,20251
05842182,10,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,74,D,20251
05842182,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,20,D,20251
05842392,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,29,D,20251
05842522,14,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,150,D,20251
05842522,15,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,40,D,20251
05842802,7,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,125,D,20251
05842802,8,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,12,D,20251
05842852,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,35,D,20251
05842852,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,480,D,20251
05842852,11,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20251
05842862,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20251
05843252,20,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,60,D,20251
05843252,21,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20251
