QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20243,05822784,15,0,1,2,D,247,D,,A,20,F,,A,,A,,A,,A,,A,24,D,80,F
20243,05823402,15,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20243,05823571,48,0,1,2,D,700,D,,A,,A,,A,,A,,A,,A,,A,300,D,200,D
20243,05825021,22,0,1,1,D,120,D,7,D,,A,,A,,A,,A,,A,,A,33,D,,A
20243,05825371,34,0,1,3,D,300,D,80,D,,A,,A,,A,,A,,A,,A,0,D,,A
20243,05828671,35,0,1,5,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20244,05573834,36,0,1,2,D,334,D,,A,,A,,A,,A,,A,,A,,A,200,D,40,D
20244,05574044,52,0,1,1,D,200,D,20,D,,A,0,D,,A,,A,,A,,A,0,D,,A
20244,05575304,26,0,1,1,D,212,D,,A,,A,,A,,A,,A,,A,,A,200,D,5,D
20244,05577394,37,0,1,2,D,357,F,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20244,05585944,40,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20244,05587384,38,0,1,4,D,,A,,A,,A,,A,,A,,A,,A,,A,400,D,300,D
20244,05588144,41,0,1,1,D,142,G,63,G,,A,,A,1,D,1,D,2,D,2,D,145,G,,A
20244,05589154,60,0,1,2,D,254,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
