QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,UTILY,UTILY_,WHATPROP,WHAT_ROP,BLPERIOD,BLPE_IOD,QFUELADZ,QFUE_ADZ,UTLPTYPE,UTLP_YPE,UTIL1,UTIL1_,UTIL2,UTIL2_,UTIL3,UTIL3_,UTIL4,UTIL4_,UTIL5,UTIL5_,UTIL6,UTIL6_,UTIL7,UTIL7_,UTIL8,UTIL8_,UTIL9,UTIL9_,QADFUL1X,QADF_L1X,QADFUL2X,QADF_L2X,QADFUL3X,QADF_L3X,UTCPURCH
20244,05836901,14,0,1,100,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,134,D,134,D,134,D,
20244,05836921,33,0,1,100,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D,
20244,05836921,34,0,1,205,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,1
20244,05836981,70,0,1,100,D,01,D,2,D,0.96,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,201,D,0,D,70,D,
20244,05836981,71,0,1,110,D,01,D,,A,0.96,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,130,D,105,D,129,D,
20244,05836981,72,0,1,230,D,01,D,2,D,0.96,D,1,D,210,D,205,D,,A,,A,,A,,A,,A,,A,,A,,H,0,D,,H,
20244,05836981,72,6,1,205,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,279,E,,A,234,E,
20244,05836981,72,7,1,210,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,186,E,,A,144,E,
20244,05837041,27,0,1,325,D,01,D,,A,1.00,D,1,D,110,D,205,D,210,D,100,D,,A,,A,,A,,A,,A,,H,,H,,H,
20244,05837041,27,6,1,100,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,158,E,175,E,124,E,
20244,05837041,27,7,1,110,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,46,E,54,E,44,E,
20244,05837041,27,8,1,205,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,E,80,E,61,E,
20244,05837041,27,9,1,210,D,01,D,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,48,E,51,E,37,E,
20244,05837051,22,0,1,100,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,
20244,05837051,23,0,1,900,D,40,D,,A,1.00,D,4,D,210,D,110,D,205,D,,A,,A,,A,,A,,A,,A,,H,,H,,H,
20244,05837051,23,10,1,110,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,8,E,8,E,9,E,
20244,05837051,23,11,1,205,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,E,12,E,11,E,
20244,05837051,23,12,1,210,D,40,D,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,5,E,5,E,5,E,
20244,05837074,13,0,1,100,D,40,D,,A,1.00,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,
20244,05837111,21,0,1,100,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,110,D,110,D,110,D,
20244,05837111,22,0,1,110,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,88,D,88,D,88,D,
20244,05837111,23,0,1,205,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D,2
20244,05837111,24,0,1,210,D,01,D,3,D,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,0,D,78,D,3
20244,05837121,25,0,1,100,D,01,D,,A,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,246,F,229,F,220,F,
