QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20241,05291294,18,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,20889,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291324,29,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291324,30,0,5,02,D,300,D,,A,3,D,,B,2018,D,,A,,A,,A,6500,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05291324,31,0,5,03,D,300,D,,A,1,D,,B,2020,D,,A,,A,,A,2300,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05291324,32,0,5,04,D,400,D,,A,3,D,,B,2016,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05291324,34,0,5,06,D,300,D,,A,1,D,,B,2020,D,,A,,A,,A,2500,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05291394,15,0,5,01,D,100,D,,A,3,D,03,D,2022,D,,A,,A,,A,310,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291414,23,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,6600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291424,20,0,5,01,D,100,D,,A,3,D,,B,1978,D,,A,,A,,A,500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291434,14,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291484,16,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291494,29,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,7300,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291494,30,0,5,02,D,300,D,,A,3,D,,B,2015,D,,A,,A,,A,4000,F,1,D,1,D,1,D,0,D,,A,,A,,A,,A,1,D
20241,05291534,9,0,5,01,D,100,D,,A,3,D,,B,1970,D,,A,,A,,A,3500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05291544,21,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,7900,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05291674,38,0,5,01,D,100,D,,A,1,D,,B,2009,D,,A,,A,,A,3700,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20241,05291694,33,0,5,01,D,100,D,,A,3,D,,B,2021,D,,A,,A,,A,3100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
