QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20244,05680313,36,0,5,01,D,100,D,.0850,D,28000,D,15,D,302,D,,A,,A,,A,,A,26,D,79,D,80,D,80,D,197,D,196,D,196,D,,A,06,D,2024,D,1,D,,A,27765,D,27686,D,27606,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05682033,29,0,5,01,D,100,D,.0609,D,20000,D,12,D,200,D,,A,,A,,A,,A,4,D,105,D,106,D,106,D,91,D,90,D,90,D,,A,12,D,2022,D,1,D,,A,17911,D,17806,D,17701,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05683783,40,0,5,01,D,100,D,.0825,D,30000,D,15,D,291,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,06,D,2024,D,2,D,,A,29744,D,29657,D,29570,D,01,D,1,D,,A,,A,,C,,C,,C,1,D,2,D
20244,05684823,34,0,5,01,D,100,D,.0475,D,61000,D,10,D,670,D,,A,,A,,A,,A,30,D,555,D,558,D,560,D,85,D,82,D,80,D,,A,09,D,2017,D,1,D,,A,21377,D,20822,D,20264,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05686093,30,0,5,01,D,100,D,.0450,D,39739,D,15,D,304,D,,A,,A,,A,,A,0,D,174,D,175,D,175,D,130,D,129,D,129,D,,A,02,D,2022,D,1,D,,A,34654,D,34480,D,34306,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05802622,20,0,5,01,D,100,D,.0425,D,22000,D,15,D,213,D,,A,,A,,A,,A,47,D,118,D,118,D,119,D,48,D,48,D,47,D,,A,09,D,2017,D,1,D,,A,13636,D,13518,D,13400,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05807242,19,0,5,01,D,100,D,.0609,D,134562,D,10,D,1500,D,,A,,A,,A,,A,0,D,942,D,946,D,951,D,558,D,554,D,549,D,,A,04,D,2022,D,1,D,,A,110045,D,109103,D,108157,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05807702,32,0,5,01,D,100,D,.0747,D,37285,D,10,D,442,D,,A,,A,,A,,A,0,D,217,D,,A,,A,225,D,,A,,A,092024,D,03,D,2024,D,1,D,,A,36222,D,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05808882,30,0,5,01,D,100,D,.0386,D,120000,D,18,D,800,D,,A,,A,,A,,A,28,D,445,D,446,D,447,D,327,D,326,D,325,D,,A,12,D,2020,D,1,D,,A,101787,D,101342,D,100896,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05810482,22,0,5,01,D,100,D,.0609,D,100000,D,15,D,1000,D,,A,,A,,A,,A,151,D,386,D,388,D,390,D,463,D,461,D,459,D,,A,08,D,2022,D,1,D,,A,91307,D,90922,D,90534,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
