QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20241,05289204,25,0,1,355,D,1,D,16,D,13,D,1
20241,05289204,26,0,1,355,D,1,D,13,D,13,D,1
20241,05289224,14,0,1,210,D,1,D,20,D,12,D,
20241,05289224,15,0,1,340,D,1,D,60,D,12,D,
20241,05289224,16,0,1,400,D,1,D,10,D,12,D,
20241,05289264,9,0,1,840,D,1,D,16,D,13,D,
20241,05289264,10,0,1,830,D,1,D,48,D,13,D,
20241,05289334,18,0,1,840,D,1,D,65,D,10,D,
20241,05289494,46,0,1,830,D,1,D,20,D,13,D,
20241,05289494,47,0,1,600,D,1,D,140,D,11,D,
20241,05289494,48,0,1,500,D,1,D,90,D,10,D,
20241,05289494,49,0,2,500,D,1,D,87,D,10,D,
20241,05289564,21,0,1,520,D,1,D,52,D,11,D,
20241,05289564,22,0,1,520,D,1,D,52,D,12,D,
20241,05289564,23,0,1,330,D,1,D,14,D,13,D,
20241,05289564,24,0,2,520,D,1,D,52,D,10,D,
20241,05289574,31,0,1,610,D,1,D,124,D,10,D,
20241,05289574,32,0,1,355,D,1,D,18,D,13,D,
20241,05289574,33,0,1,840,D,1,D,12,D,13,D,
20241,05289694,21,0,1,355,D,1,D,14,D,13,D,
20241,05289774,27,0,1,610,D,1,D,50,D,10,D,
20241,05289774,28,0,1,530,D,1,D,150,D,12,D,
20241,05289774,29,0,1,355,D,1,D,30,D,13,D,
20241,05289774,30,0,2,210,D,1,D,25,D,10,D,
20241,05289854,13,0,1,355,D,1,D,16,D,13,D,
20241,05289894,15,0,1,840,D,1,D,14,D,13,D,
20241,05289894,16,0,1,700,D,1,D,5,D,13,D,
20241,05289894,17,0,1,370,D,1,D,70,D,12,D,
20241,05289894,18,0,1,355,D,1,D,30,D,13,D,
20241,05289904,27,0,1,355,D,1,D,25,D,13,D,
20241,05289984,20,0,1,355,D,1,D,4,D,12,D,
20241,05290094,25,0,1,800,D,1,D,333,D,13,D,
20241,05290094,26,0,1,355,D,1,D,19,D,13,D,
20241,05290144,29,0,1,150,D,1,D,250,D,12,D,
20241,05290184,14,0,1,800,D,1,D,100,D,10,D,
20241,05290184,15,0,1,800,D,1,D,150,D,11,D,
20241,05290184,16,0,1,800,D,1,D,80,D,12,D,
20241,05290184,17,0,1,600,D,1,D,70,D,12,D,
20241,05290184,18,0,1,500,D,1,D,90,D,12,D,
20241,05290184,19,0,1,530,D,1,D,40,D,11,D,
20241,05290194,36,0,1,830,D,1,D,20,D,10,D,
20241,05290234,27,0,1,840,D,1,D,9,D,13,D,
20241,05290234,28,0,1,355,D,1,D,16,D,13,D,
20241,05290244,40,0,1,100,D,1,D,200,D,12,D,
20241,05290244,41,0,1,830,D,1,D,20,D,13,D,
20241,05290244,42,0,1,520,D,1,D,54,D,10,D,
20241,05290244,43,0,1,520,D,1,D,54,D,11,D,
20241,05290244,44,0,1,520,D,1,D,54,D,12,D,
20241,05290244,45,0,1,150,D,1,D,660,D,11,D,
20241,05290244,46,0,1,210,D,1,D,90,D,13,D,
20241,05290244,47,0,1,330,D,1,D,11,D,13,D,
20241,05290244,48,0,1,355,D,1,D,33,D,13,D,
20241,05290254,52,0,1,500,D,1,D,48,F,12,D,
20241,05290254,53,0,1,150,D,1,D,23,D,13,D,
20241,05290254,54,0,1,700,D,1,D,33,D,13,D,
20241,05290254,55,0,1,355,D,1,D,15,D,13,D,
20241,05290254,56,0,2,600,D,1,D,515,D,10,D,
20241,05290264,21,0,1,520,D,1,D,45,D,12,D,
20241,05290264,22,0,1,380,D,1,D,30,D,12,D,
20241,05290414,71,0,1,830,D,1,D,20,D,13,D,
20241,05290414,72,0,1,610,D,1,D,100,D,10,D,
20241,05290414,73,0,1,610,D,1,D,150,D,11,D,
20241,05290414,74,0,1,600,D,1,D,600,D,12,D,
20241,05290414,75,0,1,600,D,1,D,200,D,12,D,
20241,05290414,76,0,1,600,D,1,D,500,D,11,D,
20241,05290414,77,0,1,600,D,1,D,250,D,11,D,
20241,05290414,78,0,1,355,D,1,D,60,D,13,D,
20241,05290414,79,0,1,355,D,1,D,10,D,13,D,
20241,05290414,80,0,1,700,D,1,D,20,D,13,D,
20241,05290424,32,0,1,500,D,1,D,320,D,11,D,
20241,05290424,33,0,1,520,D,1,D,44,D,11,D,
20241,05290424,34,0,1,520,D,1,D,44,D,12,D,
20241,05290424,35,0,1,355,D,1,D,30,D,13,D,
20241,05290424,36,0,1,330,D,1,D,30,D,13,D,
20241,05290424,37,0,2,520,D,1,D,44,D,10,D,
20241,05290514,38,0,1,100,D,1,D,255,D,11,D,
20241,05290514,39,0,1,500,D,1,D,171,D,11,D,
20241,05290514,40,0,1,500,D,1,D,179,D,12,D,
20241,05290514,41,0,1,210,D,1,D,14,D,11,D,
20241,05290514,42,0,1,320,D,1,D,25,D,12,D,
20241,05290514,43,0,1,700,D,1,D,5,D,13,D,
20241,05290514,44,0,1,310,D,1,D,7,D,11,D,
20241,05290524,21,0,1,355,D,1,D,23,D,13,D,
20241,05290524,22,0,1,355,D,1,D,10,D,13,D,
20241,05290524,23,0,1,355,D,1,D,1,D,13,D,
20241,05290524,24,0,1,355,D,1,D,2,D,13,D,
20241,05290534,43,0,1,150,D,1,D,47,D,13,D,
20241,05290534,44,0,1,210,D,1,D,13,D,13,D,
20241,05290534,45,0,1,355,D,1,D,30,D,13,D,
20241,05290534,46,0,1,355,D,1,D,10,D,13,D,
20241,05290544,12,0,1,150,D,1,D,24,D,13,D,
20241,05290544,13,0,1,150,D,1,D,18,D,13,D,
20241,05290544,14,0,1,340,D,1,D,40,D,10,D,
20241,05290544,15,0,1,340,D,1,D,254,D,10,D,
20241,05290544,16,0,1,340,D,1,D,82,D,11,D,
20241,05290544,17,0,1,340,D,1,D,155,D,12,D,
20241,05290624,16,0,1,840,D,1,D,60,D,11,D,
20241,05290624,17,0,1,355,D,1,D,12,D,13,D,
20241,05290644,16,0,1,210,D,1,D,16,D,10,D,
20241,05290644,17,0,1,210,D,1,D,16,D,11,D,
20241,05290644,18,0,1,210,D,1,D,16,D,12,D,
20241,05290644,19,0,1,330,D,1,D,10,D,13,D,
20241,05290704,38,0,1,530,D,1,D,15,D,10,D,
20241,05290704,39,0,1,530,D,1,D,16,D,12,D,
20241,05290704,40,0,1,355,D,1,D,16,D,13,D,
20241,05290734,13,0,1,100,D,1,D,400,D,13,D,
20241,05290734,14,0,1,610,D,1,D,500,D,12,D,
20241,05290764,38,0,1,500,D,1,D,130,D,12,D,
20241,05290764,39,0,1,700,D,1,D,18,D,13,D,1
20241,05290764,40,0,1,330,D,1,D,17,D,13,D,
20241,05290824,43,0,1,840,D,1,D,60,D,11,D,
20241,05290824,44,0,1,500,D,1,D,200,D,10,D,
20241,05290914,31,0,1,210,D,1,D,200,D,12,D,
20241,05290924,46,0,1,830,D,1,D,30,D,13,D,
20241,05290924,47,0,1,830,D,1,D,190,D,13,D,
20241,05290924,48,0,1,840,D,1,D,136,D,11,D,
20241,05290924,49,0,1,210,D,1,D,12,D,13,D,
20241,05290924,50,0,1,210,D,1,D,100,D,10,D,
20241,05290924,51,0,1,355,D,2,D,17,D,13,D,1
20241,05290924,52,0,1,355,D,1,D,5,D,13,D,1
20241,05290984,29,0,1,500,D,1,D,64,D,12,D,
20241,05290984,30,0,1,355,D,1,D,15,D,13,D,1
20241,05290994,28,0,1,840,D,1,D,16,D,13,D,
20241,05290994,29,0,1,370,D,1,D,32,D,11,D,
20241,05291004,30,0,1,840,D,1,D,14,D,13,D,
20241,05291004,31,0,1,355,D,1,D,8,D,13,D,
20241,05291044,26,0,1,840,D,1,D,120,D,13,D,
20241,05291044,27,0,1,355,D,1,D,20,D,12,D,
20241,05291074,33,0,1,100,D,1,D,150,D,13,D,
20241,05291074,34,0,1,820,D,1,D,500,D,12,D,
20241,05291074,35,0,1,520,D,1,D,180,D,12,D,
20241,05291074,36,0,1,150,D,1,D,150,D,11,D,
20241,05291094,34,0,1,840,D,1,D,130,D,11,D,2
20241,05291094,35,0,1,520,D,1,D,45,D,11,D,
20241,05291094,36,0,1,700,D,1,D,140,F,13,D,
20241,05291114,32,0,1,100,D,1,D,1000,D,13,D,
20241,05291114,33,0,1,830,D,1,D,120,D,13,D,
20241,05291114,34,0,1,840,D,1,D,115,D,11,D,
20241,05291114,35,0,1,600,D,1,D,250,D,11,D,
20241,05291114,36,0,1,520,D,1,D,100,D,12,D,
20241,05291114,37,0,1,520,D,1,D,100,D,11,D,
20241,05291114,38,0,1,500,D,1,D,50,D,12,D,
20241,05291114,39,0,1,700,D,1,D,7,D,13,D,
20241,05291114,40,0,1,355,D,1,D,120,D,11,D,
20241,05291114,41,0,1,370,D,1,D,150,D,11,D,
20241,05291124,24,0,1,100,D,1,D,100,D,12,D,1
20241,05291124,25,0,1,150,D,1,D,12,D,12,D,
20241,05291124,26,0,1,355,D,1,D,7,D,13,D,
20241,05291124,27,0,1,355,D,1,D,89,D,13,D,
20241,05291124,28,0,1,355,D,1,D,7,D,13,D,
20241,05291124,29,0,1,355,D,1,D,6,D,13,D,
20241,05291124,30,0,1,355,D,1,D,7,D,13,D,
20241,05291124,31,0,1,355,D,1,D,16,D,13,D,
20241,05291154,23,0,1,700,D,1,D,40,D,13,D,
20241,05291184,35,0,1,100,D,1,D,81,D,10,D,
20241,05291184,36,0,1,100,D,1,D,170,D,11,D,
20241,05291184,37,0,1,100,D,1,D,274,D,12,D,
20241,05291184,38,0,1,500,D,1,D,44,D,11,D,1
20241,05291184,39,0,1,520,D,1,D,169,D,10,D,1
20241,05291184,40,0,1,520,D,1,D,33,D,11,D,1
20241,05291184,41,0,1,530,D,1,D,51,D,10,D,2
20241,05291184,42,0,1,210,D,1,D,49,D,12,D,1
20241,05291184,43,0,1,310,D,1,D,306,D,11,D,
