QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20241,05607951,7,0,1,190,D,12,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05607951,8,0,1,190,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05607951,9,0,1,200,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05412864,4,0,1,220,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05413064,5,0,1,220,D,01,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05413304,3,0,1,220,D,13,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05413454,10,0,1,130,D,03,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05414064,3,0,1,130,D,03,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05416224,11,0,1,220,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05417454,10,0,1,220,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05418164,6,0,1,220,D,03,D,124,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05418224,3,0,1,220,D,01,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05418314,6,0,1,170,D,03,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05419874,8,0,1,220,D,13,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05420854,3,0,1,170,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05421614,5,0,2,160,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05422944,6,0,1,220,D,01,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05423074,12,0,1,130,D,02,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05424034,10,0,1,140,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05425404,7,0,1,130,D,04,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05427564,5,0,1,120,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05430644,6,0,1,140,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05432174,6,0,1,220,D,13,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05433544,4,0,2,130,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05434444,20,0,5,220,D,13,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20242,05434474,8,0,1,130,D,04,D,1085,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
