QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20241,05359094,3,0,1,470,D,1,D,02,D,2066,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05359244,1,0,1,380,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05359464,2,0,2,380,D,1,D,12,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05360454,2,0,1,370,D,1,D,02,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05360554,2,0,1,120,D,1,D,12,D,2600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05360554,3,0,2,370,D,1,D,12,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05360594,2,0,1,450,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05360694,1,0,1,120,D,1,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05360884,4,0,1,370,D,2,D,12,D,209,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05361174,1,0,1,370,D,1,D,12,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05361174,2,0,2,450,D,1,D,12,D,365,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05361754,2,0,1,380,D,1,D,02,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05361834,2,0,2,370,D,1,D,12,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05361854,1,0,1,380,D,1,D,02,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05361854,2,0,1,380,D,1,D,12,D,10000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05361914,3,0,1,380,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05361914,4,0,1,450,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05362794,7,0,2,380,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05362854,2,0,1,380,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05362854,3,0,1,380,D,1,D,01,D,83,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05363154,4,0,1,380,D,1,D,12,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05363154,5,0,1,460,D,1,D,12,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05363394,4,0,1,370,D,1,D,12,D,390,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05363394,5,0,2,370,D,1,D,12,D,390,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05363764,2,0,1,460,D,1,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05363764,3,0,2,450,D,1,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05363934,2,0,2,380,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05364164,3,0,1,370,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05364494,1,0,1,120,D,1,D,02,D,192,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05364494,2,0,1,370,D,1,D,02,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05364804,3,0,1,450,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05365074,2,0,1,120,D,1,D,01,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05365104,6,0,1,380,D,1,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05365104,7,0,2,380,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05365354,3,0,1,460,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05365414,3,0,1,380,D,1,D,02,D,2200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05365454,3,0,1,380,D,1,D,12,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05366304,2,0,1,380,D,1,D,12,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05366674,3,0,1,470,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05366674,4,0,1,380,D,1,D,12,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05411933,3,0,1,370,D,2,D,11,D,1198,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05412053,1,0,1,480,D,1,D,10,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412053,2,0,1,480,D,1,D,11,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412053,3,0,1,480,D,1,D,12,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412103,1,0,1,370,D,1,D,12,D,4200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412133,6,0,1,370,D,2,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412173,1,0,1,450,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412173,2,0,1,480,D,1,D,10,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412213,1,0,1,370,D,1,D,10,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412343,4,0,1,370,D,1,D,11,D,120,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412803,1,0,1,370,D,2,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05412803,2,0,1,380,D,2,D,12,D,124,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05413063,10,0,1,380,D,1,D,12,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05413213,2,0,1,450,D,1,D,10,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05413243,9,0,1,120,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05413453,6,0,1,380,D,2,D,11,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05413793,1,0,1,380,D,1,D,11,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05413963,5,0,1,370,D,1,D,12,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05414323,5,0,1,380,D,1,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05414323,6,0,1,380,D,2,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05414383,1,0,1,120,D,1,D,10,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05415033,2,0,1,120,D,2,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05415343,5,0,1,370,D,1,D,11,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05415343,6,0,1,380,D,1,D,11,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05415393,1,0,1,370,D,1,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05415643,4,0,1,380,D,1,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05415723,2,0,1,370,D,1,D,12,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05415953,8,0,1,380,D,2,D,12,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05416223,10,0,1,380,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
