QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20241,05290524,3,0,1,2,D,2,D,975,D,520,D,1430,D,,A,,A,0,D,,
20241,05290534,15,0,1,2,D,2,D,650,D,0,D,1300,D,,A,,A,0,D,,
20241,05290544,3,0,1,2,D,2,D,0,D,0,D,819,D,,A,,A,0,D,,
20241,05290554,3,0,1,2,D,2,D,1950,D,0,D,1950,D,,A,,A,0,D,,
20241,05290624,5,0,1,2,D,2,D,416,D,0,D,1300,D,,A,,A,0,D,,
20241,05290644,2,0,1,2,D,2,D,585,D,130,D,1300,D,,A,,A,0,D,,
20241,05290704,8,0,1,2,D,2,D,0,D,0,D,4069,D,,A,,A,0,D,,
20241,05290714,2,0,1,2,D,2,D,0,D,0,D,0,D,,A,,A,0,D,,
20241,05290734,4,0,1,2,D,2,D,156,D,0,D,650,D,,A,,A,0,D,,
20241,05290754,3,0,1,2,D,2,D,260,D,0,D,845,D,,A,,A,0,D,,
20241,05290764,9,0,1,2,D,2,D,325,D,0,D,1300,D,,A,,A,220,D,,
20241,05290784,3,0,1,2,D,2,D,0,D,0,D,2275,D,,A,,A,0,D,,
20241,05290804,2,0,1,2,D,2,D,520,D,0,D,1170,D,,A,,A,0,D,,
20241,05290824,6,0,1,2,D,2,D,325,D,0,D,3640,D,,A,,A,500,D,,
20241,05290884,2,0,1,1,D,2,D,104,D,247,D,1690,D,390,D,,A,0,D,,
20241,05290914,9,0,1,2,D,2,D,130,D,0,D,3250,D,,A,,A,100,D,,
20241,05290924,6,0,1,2,D,2,D,650,D,130,D,3250,D,,A,,A,400,D,,
20241,05290964,3,0,1,2,D,2,D,0,D,0,D,650,D,,A,,A,0,D,,
20241,05290984,2,0,1,2,D,2,D,520,D,0,D,1950,D,,A,,A,0,D,,
20241,05290994,3,0,1,2,D,2,D,2600,D,780,D,2730,D,,A,,A,50,D,,
20241,05291004,4,0,1,2,D,2,D,260,D,0,D,650,D,,A,,A,0,D,,
20241,05291014,8,0,1,2,D,2,D,0,D,0,D,3250,D,,A,,A,0,D,,
20241,05291044,6,0,1,2,D,2,D,1300,D,130,D,2600,D,,A,,A,200,D,,
20241,05291074,6,0,1,2,D,2,D,3900,D,0,D,3900,D,,A,,A,500,D,,
20241,05291084,2,0,1,2,D,2,D,0,D,0,D,1300,D,,A,,A,0,D,,
20241,05291094,4,0,1,1,D,2,D,1950,D,0,D,4550,D,782,F,,A,0,D,,
20241,05291114,5,0,1,2,D,2,D,2600,D,0,D,5850,D,,A,,A,200,D,,
20241,05291124,8,0,1,2,D,2,D,130,D,0,D,1300,D,,A,,A,0,D,,
20241,05291154,5,0,1,2,D,2,D,3705,D,325,D,3250,D,,A,,A,100,D,,
20241,05291184,9,0,1,2,D,2,D,2990,D,65,D,5928,D,,A,,A,170,D,,
20241,05291214,2,0,1,2,D,2,D,260,D,0,D,2600,D,,A,,A,50,D,,
20241,05291274,2,0,1,2,D,2,D,520,D,195,D,3900,D,,A,,A,30,D,,
20241,05291294,3,0,1,2,D,2,D,1300,D,0,D,3250,D,,A,,A,0,D,,
20241,05291324,6,0,1,2,D,2,D,325,D,0,D,1300,D,,A,,A,0,D,,
20241,05291394,7,0,1,2,D,2,D,3900,D,520,D,1950,D,,A,,A,600,D,,
20241,05291414,6,0,1,2,D,2,D,1196,D,624,D,6500,D,,A,,A,0,D,,
20241,05291424,7,0,1,2,D,1,D,975,D,0,D,3900,D,,A,780,D,0,D,,
20241,05291434,2,0,1,2,D,2,D,650,D,260,D,1950,D,,A,,A,0,D,,
20241,05291484,4,0,1,2,D,2,D,585,D,0,D,1950,D,,A,,A,150,D,,
20241,05291494,6,0,1,2,D,2,D,1300,D,0,D,3250,D,,A,,A,50,D,,
20241,05291534,2,0,1,2,D,2,D,1300,D,0,D,5200,D,,A,,A,0,D,,
20241,05291544,4,0,1,2,D,2,D,0,D,0,D,3250,D,,A,,A,0,D,,
20241,05291584,2,0,1,2,D,2,D,1300,D,65,D,1950,D,,A,,A,1000,D,,
20241,05291664,2,0,1,2,D,2,D,780,D,0,D,3250,D,,A,,A,0,D,,
20241,05291674,7,0,1,2,D,2,D,1040,D,0,D,3900,D,,A,,A,20,D,,
20241,05291694,8,0,1,2,D,2,D,1040,D,650,D,2600,D,,A,,A,0,D,,
20241,05291714,5,0,1,2,D,1,D,520,D,260,D,3250,D,,A,325,D,0,D,,
20241,05291754,3,0,1,2,D,2,D,2275,D,650,D,1300,D,,A,,A,0,D,,
20241,05291764,2,0,1,2,D,2,D,260,D,0,D,1300,D,,A,,A,50,D,,
20241,05291774,5,0,1,2,D,2,D,260,D,0,D,650,D,,A,,A,0,D,,
20241,05291814,4,0,1,2,D,2,D,1560,D,0,D,1300,D,,A,,A,0,D,,
20241,05291824,2,0,1,1,D,2,D,0,D,0,D,3250,D,780,D,,A,0,D,,
