QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20243,05798341,15,0,1,345,D,,A,06,D,,A,,A,,,2100,A,D
20243,05798391,9,0,1,365,D,,A,04,D,,A,,A,,,145,A,D
20243,05798391,10,0,1,365,D,,A,04,D,,A,,A,,,25,A,D
20243,05798521,17,0,1,303,D,,A,06,D,,A,,A,,,2100,A,D
20243,05798781,5,0,1,100,D,2,D,13,D,,A,,A,,,3300,A,D
20243,05798781,6,0,1,345,D,,A,13,D,,A,,A,,,600,A,D
20243,05799201,8,0,1,301,D,,A,13,D,,A,,A,,2,3900,A,D
20243,05799201,9,0,1,321,D,,A,,A,4,D,,A,3,,3300,D,D
20243,05799201,10,0,1,365,D,,A,13,D,,A,,A,,2,1800,A,D
20243,05799331,7,0,1,302,D,,A,06,D,,A,,A,,,644,A,D
20243,05799341,13,0,1,303,D,,A,13,D,,A,,A,,,600,A,D
20243,05799551,9,0,1,200,D,,A,13,D,,A,,A,,,5736,A,D
20243,05799551,10,0,1,225,D,,A,04,D,,A,,A,,,100,A,D
20243,05799551,11,0,1,225,D,,A,05,D,,A,,A,,,88,A,D
20243,05799551,12,0,1,225,D,,A,06,D,,A,,A,,,75,A,D
20243,05799921,7,0,1,310,D,,A,06,D,,A,,A,,,1300,A,D
20243,05799921,8,0,1,310,D,,A,06,D,,A,,A,,,800,A,D
20243,05799921,9,0,1,303,D,,A,06,D,,A,,A,,,1600,A,D
20243,05800371,11,0,1,200,D,,A,13,D,,A,,A,,1,528,A,D
20243,05800371,12,0,1,225,D,,A,13,D,,A,,A,,,600,A,D
20243,05800391,8,0,1,302,D,,A,13,D,,A,,A,,,4200,A,D
20243,05800391,9,0,1,303,D,,A,04,D,,A,,A,,,2600,A,D
20243,05800773,10,0,1,301,D,,A,13,D,,A,,A,,,1725,A,D
20243,05801001,6,0,1,303,D,,A,05,D,,A,,A,,1,4000,A,D
20243,05801111,9,0,1,200,D,,A,13,D,,A,,A,,,1500,A,D
20243,05801301,6,0,1,200,D,,A,13,D,,A,,A,,,300,A,D
20243,05801671,8,0,1,100,D,1,D,06,D,,A,,A,,,5000,A,D
20243,05802021,5,0,1,321,D,,A,,A,2,D,,A,4,,160,D,D
20243,05802041,8,0,1,200,D,,A,13,D,,A,,A,,,960,A,D
20243,05802041,9,0,1,302,D,,A,13,D,,A,,A,,,990,A,D
20243,05802111,10,0,1,200,D,,A,13,D,,A,,A,,,5409,A,D
20243,05802541,4,0,1,200,D,,A,13,D,,A,,A,,,240,A,D
20243,05802571,7,0,1,100,D,2,D,13,D,,A,,A,,,150,A,D
20243,05802871,6,0,1,303,D,,A,05,D,,A,,A,,,500,A,D
20243,05802881,4,0,1,303,D,,A,04,D,,A,,A,,,500,A,D
20243,05802881,5,0,1,303,D,,A,05,D,,A,,A,,,500,A,D
20243,05802881,6,0,1,303,D,,A,06,D,,A,,A,,,1500,A,D
20243,05802881,7,0,1,365,D,,A,06,D,,A,,A,,,125,A,D
20243,05803041,12,0,1,200,D,,A,13,D,,A,,A,,,1500,A,D
20243,05803041,13,0,1,225,D,,A,05,D,,A,,A,,,50,A,D
20243,05803281,11,0,1,303,D,,A,04,D,,A,,A,,,230,A,D
20243,05803371,5,0,1,200,D,,A,13,D,,A,,A,,,2064,A,D
20243,05803451,5,0,1,303,D,,A,05,D,,A,,A,,,600,A,D
20243,05803481,10,0,1,225,D,,A,13,D,,A,,A,,,600,A,D
20243,05803881,10,0,1,365,D,,A,05,D,,A,,A,,,500,A,D
20243,05804101,4,0,1,365,D,,A,06,D,,A,,A,,,40,A,D
20243,05804221,9,0,1,200,D,,A,04,D,,A,,A,,,546,A,D
20243,05804221,10,0,1,200,D,,A,05,D,,A,,A,,,546,A,D
20243,05804221,11,0,1,200,D,,A,06,D,,A,,A,,,445,A,D
20243,05804491,4,0,1,303,D,,A,13,D,,A,,A,,,1500,A,D
20243,05804591,5,0,1,200,D,,A,06,D,,A,,A,,,250,A,D
20243,05804591,6,0,1,225,D,,A,04,D,,A,,A,,,300,A,D
20243,05804591,7,0,1,225,D,,A,05,D,,A,,A,,,300,A,D
20243,05804591,8,0,1,225,D,,A,06,D,,A,,A,,,700,A,D
20243,05804721,9,0,1,200,D,,A,13,D,,A,,A,,2,8400,A,D
